"bea_code","bea_title","ast_flag","matched_naics","match_digits","ppi_series","begin_year","status","n_ppi","naics_all"
"326210","Tire manufacturing",FALSE,"32621",5,"PCU32621-32621-",1973,"matched",1,"32621"
"326220","Rubber and plastics hoses and belting manufacturing",FALSE,"32622",5,"PCU32622-32622-",2003,"matched",1,"32622"
"326290","Other rubber product manufacturing",FALSE,"32629",5,"PCU32629-32629-",1988,"matched",1,"32629"
"327100","Clay product and refractory manufacturing",FALSE,"3271",4,"PCU3271--3271--",2003,"matched",1,"3271"
"327200","Glass and glass product manufacturing",FALSE,"3272",4,"PCU3272--3272--",2003,"matched",1,"3272"
"327310","Cement manufacturing",FALSE,"32731",5,"PCU32731-32731-",1965,"matched",1,"32731"
"327320","Ready-mix concrete manufacturing",FALSE,"32732",5,"PCU32732-32732-",2003,"matched",1,"32732"
"327330","Concrete pipe, brick, and block manufacturing",FALSE,"32733",5,"PCU32733-32733-",2003,"matched",1,"32733"
"327390","Other concrete product manufacturing",FALSE,"32739",5,"PCU32739-32739-",2003,"matched",1,"32739"
"327400","Lime and gypsum product manufacturing",FALSE,"327",3,"PCU327---327---",1984,"matched",1,"327"
"327910","Abrasive product manufacturing",FALSE,"32791",5,"PCU32791-32791-",2003,"matched",1,"32791"
"327991","Cut stone and stone product manufacturing",FALSE,"327991",6,"PCU327991327991",1984,"matched",1,"327991"
"327992","Ground or treated mineral and earth manufacturing",FALSE,"327992",6,"PCU327992327992",1985,"matched",1,"327992"
"327993","Mineral wool manufacturing",FALSE,"327993",6,"PCU327993327993",1981,"matched",1,"327993"
"327999","Miscellaneous nonmetallic mineral products",FALSE,"327999",6,"PCU327999327999",2003,"matched",1,"327999"
"331110","Iron and steel mills and ferroalloy manufacturing",FALSE,"3311",4,"PCU3311--3311--",2003,"matched",1,"3311"
"331200","Steel product manufacturing from purchased steel",FALSE,"3312",4,"PCU3312--3312--",2003,"matched",1,"3312"
"331313","Alumina refining and primary aluminum production",FALSE,"331313",6,"PCU331313331313",1967,"matched",1,"331313"
"331314","Secondary smelting and alloying of aluminum",FALSE,"331314",6,"PCU331314331314",2003,"matched",1,"331314"
"33131B","Aluminum product manufacturing from purchased aluminum",FALSE,"331315",6,"PCU331315331315",1975,"matched",2,"331315, 331318"
